index,subject_id,group,block,trial_in_block,trial_coherence,trial_perturb,trial_type,reach_dur,reach_rt,trial_directions,trial_target,aim_target,reach_target,aim_real_angle,reach_real_angle,true_target_angle,coh_cat,perturb_cat,reach_sub_perturb,aim_sub_perturb
0,sub-101,1,1,0,0.0,0.0,-1,0.4834805990103632,0.5165797722293064,0,2,-31.105400309104795,-16.41533780808585,28.8945996908952,43.58466219191414,59.99999999999999,zero,0.0,-16.41533780808585,-31.105400309104795
1,sub-101,1,1,1,0.0,0.0,-1,0.0416945380857214,0.5084803575882688,0,3,-30.0,-25.074085218376407,-0.0,4.9259147816235895,30.0,zero,0.0,-25.074085218376407,-30.0
2,sub-101,1,1,2,0.0,0.0,-1,0.0833353457273915,0.4084840402938425,0,1,4.667365347984699,-4.695920711022879,94.6673653479847,85.30407928897712,90.0,zero,0.0,-4.695920711022879,4.667365347984699
3,sub-101,1,1,3,0.0,0.0,-1,inf,0.3751119888620451,0,1,-11.535845521547358,2.17322691213613,78.46415447845264,92.17322691213612,90.0,zero,0.0,2.17322691213613,-11.535845521547358
4,sub-101,1,1,4,0.0,0.0,-1,,,0,3,,,,,30.0,zero,0.0,,
5,sub-101,1,1,5,0.0,0.0,-1,,,0,3,,,,,30.0,zero,0.0,,
6,sub-101,1,1,6,0.0,0.0,-1,0.1666951418155804,0.500162398791872,0,1,-9.273595983873308,2.821595053413517,80.7264040161267,92.82159505341352,90.0,zero,0.0,2.821595053413517,-9.273595983873308
7,sub-101,1,1,7,0.0,0.0,-1,0.1750565679976716,0.4584702755091712,0,2,-19.721878889885808,-5.370847587683578,40.278121110114185,54.629152412316415,59.99999999999999,zero,0.0,-5.370847587683578,-19.721878889885808
8,sub-101,1,1,8,0.0,0.0,-1,0.183371206279844,0.4834766749991104,0,2,4.452285822959489,-11.609680161906129,64.45228582295948,48.390319838093866,59.99999999999999,zero,0.0,-11.609680161906129,4.452285822959489
9,sub-101,1,1,9,0.0,0.0,-1,0.0500303064472973,0.5584484814899042,0,3,-10.428437307343064,-12.734082856327724,19.571562692656933,17.265917143672272,30.0,zero,0.0,-12.734082856327724,-10.428437307343064
10,sub-101,1,1,10,0.0,0.0,-1,0.2084153377218172,0.4667779712472111,0,2,-26.202036830016034,-11.609680161906129,33.79796316998396,48.390319838093866,59.99999999999999,zero,0.0,-11.609680161906129,-26.202036830016034
11,sub-101,1,1,11,0.0,0.0,-1,,,0,1,,,,,90.0,zero,0.0,,
0,sub-101,1,2,0,0.0,0.0,0,0.0583289463538676,0.4834959936561063,0,2,-11.069990781922805,-23.75622512928132,48.93000921807719,36.243774870718674,59.99999999999999,zero,0.0,-23.75622512928132,-11.069990781922805
1,sub-101,1,2,1,0.0,0.0,0,0.0499859335832297,0.4414268516702577,0,3,-12.874808831078385,-7.60174353922163,17.125191168921614,22.398256460778367,30.0,zero,0.0,-7.60174353922163,-12.874808831078385
