index,subject_id,group,block,trial_in_block,trial_coherence,trial_perturb,trial_type,reach_dur,reach_rt,trial_directions,trial_target,aim_target,reach_target,aim_real_angle,reach_real_angle,true_target_angle,coh_cat,perturb_cat,reach_sub_perturb,aim_sub_perturb
0,sub-101,1,3,0,0.292301217221064,0.523598775598299,1,,,1,1,,,,,90,low,30,,
1,sub-101,1,3,1,0.438451825831597,0.523598775598299,1,0.058343133656308,0.808377545210533,1,1,34.8097329158784,23.6012740438098,124.809732915878,113.60127404381,90,med,30,-6.39872595619021,4.80973291587839
2,sub-101,1,3,2,0.584602434442129,-0.523598775598299,1,0.066687052021734,0.466701601515524,-1,2,4.45228582295949,3.60830591461478,64.4522858229595,63.6083059146148,60,high,-30,33.6083059146148,34.4522858229595
3,sub-101,1,3,3,0.584602434442129,0.523598775598299,1,0.033330395352095,0.450165296555497,1,3,-18.5379146976467,-17.186548324129,11.4620853023533,12.813451675871,30,high,30,-47.186548324129,-48.5379146976467
4,sub-101,1,3,4,0.438451825831597,-0.523598775598299,1,,,-1,3,,,,,30,med,-30,,
5,sub-101,1,3,5,0.292301217221064,0.523598775598299,1,,,1,3,,,,,30,low,30,,
6,sub-101,1,3,6,0.438451825831597,0.523598775598299,1,inf,-inf,1,3,,,-16.9351823018359,-16.9351823018359,30,med,30,,
7,sub-101,1,3,7,0.438451825831597,-0.523598775598299,1,0.100032540154643,0.500063088024035,-1,1,-52.4109702995482,-21.4623209666735,37.5890297004518,68.5376790333265,90,med,-30,8.53767903332647,-22.4109702995482
8,sub-101,1,3,8,0.584602434442129,-0.523598775598299,1,0.033346997341141,0.800235267030075,-1,3,-19.2634220506614,-18.7006304858285,10.7365779493386,11.2993695141715,30,high,-30,11.2993695141715,10.7365779493386
9,sub-101,1,3,9,0.438451825831597,-0.523598775598299,1,0.050018533947878,0.41680441389326,-1,3,-34.0671691917663,-31.9073236175114,-4.06716919176632,-1.90732361751143,30,med,-30,-1.90732361751142,-4.06716919176631
10,sub-101,1,3,10,0.292301217221064,-0.523598775598299,1,,,-1,1,,,,,90,low,-30,,
11,sub-101,1,3,11,0.438451825831597,0.523598775598299,1,0.066636340110563,0.425132032018155,1,2,9.48462907028263,9.85702707479196,69.4846290702826,69.857027074792,60,med,30,-20.142972925208,-20.5153709297174
