index,subject_id,group,block,trial_in_block,trial_coherence,trial_perturb,trial_type,reach_dur,reach_rt,trial_directions,trial_target,aim_target,reach_target,aim_real_angle,reach_real_angle,true_target_angle,coh_cat,perturb_cat,reach_sub_perturb,aim_sub_perturb
0,sub-102,0,3,0,0.475998600862799,-0.523598775598299,1,inf,0.458232753444463,-1,1,40.8061654514655,76.4393128098768,130.806165451466,166.439312809877,90,high,-30,106.439312809877,70.8061654514655
1,sub-102,0,3,1,0.356998950647099,-0.523598775598299,1,0.024994332809001,0.449631452560425,1,3,-7.24503391893522,-16.4850818077945,22.7549660810648,13.5149181922055,30,med,-30,13.5149181922055,22.7549660810648
2,sub-102,0,3,2,0.475998600862799,-0.523598775598299,1,0.108347110450268,0.441720791393891,-1,1,5.66893876206245,-7.51414734919452,95.6689387620624,82.4858526508055,90,high,-30,22.4858526508055,35.6689387620625
3,sub-102,0,3,3,0.2379993004314,-0.523598775598299,1,0.033314608386718,0.625208165380172,1,3,-12.0534545421248,-15.6511808551297,17.9465454578752,14.3488191448703,30,low,-30,14.3488191448703,17.9465454578752
4,sub-102,0,3,4,0.2379993004314,-0.523598775598299,1,0.041635487810709,0.458504119189456,-1,1,-14.4633003948902,-12.2202816299412,75.5366996051098,77.7797183700588,90,low,-30,17.7797183700588,15.5366996051098
5,sub-102,0,3,5,0.2379993004314,-0.523598775598299,1,inf,0.475093959248625,-1,2,-24.7518984742175,13.1496276409297,35.2481015257825,73.1496276409297,60,low,-30,43.1496276409297,5.2481015257825
6,sub-102,0,3,6,0,-0.523598775598299,1,0.041672313818708,0.683415683801286,0,1,0,0,90,90,90,zero,-30,30,30
7,sub-102,0,3,7,0.475998600862799,-0.523598775598299,1,0.033366225310601,0.558500164886937,-1,3,1.20438331497311,-11.6358811624184,31.2043833149731,18.3641188375816,30,high,-30,18.3641188375816,31.2043833149731
8,sub-102,0,3,8,0.2379993004314,-0.523598775598299,1,0.025000671623275,0.575163053465076,-1,3,-18.7493780087015,-21.7600663067123,11.2506219912985,8.23993369328768,30,low,-30,8.23993369328769,11.2506219912985
9,sub-102,0,3,9,0.356998950647099,-0.523598775598299,1,0.075019220472313,0.450126491487026,-1,1,-18.8981669367489,-16.4346771421209,71.1018330632511,73.5653228578791,90,med,-30,13.5653228578791,11.1018330632511
10,sub-102,0,3,10,0.356998950647099,-0.523598775598299,1,0.041723327012733,0.383427546708845,1,2,-19.6477459718783,-30.0743569923357,40.3522540281217,29.9256430076642,60,med,-30,-0.074356992335741,10.3522540281217
11,sub-102,0,3,11,0,-0.523598775598299,1,0.033314004656859,0.458502308116294,0,3,-3.35722031097901,-11.7905353681565,26.642779689021,18.2094646318435,30,zero,-30,18.2094646318435,26.642779689021
12,sub-102,0,3,12,0.356998950647099,-0.523598775598299,1,0.02503719588276,0.500159831135534,-1,3,-15.1060676795773,-18.5406554457234,14.8939323204227,11.4593445542766,30,med,-30,11.4593445542766,14.8939323204227
13,sub-102,0,3,13,0.2379993004314,-0.523598775598299,1,inf,0.383422716986388,1,1,-21.7716480278792,10.4670465883269,68.2283519721208,100.467046588327,90,low,-30,40.4670465883269,8.22835197212082
14,sub-102,0,3,14,0.356998950647099,-0.523598775598299,1,0.049967233790085,0.641884939162992,-1,1,-6.2033674006144,-10.8969236366788,83.7966325993856,79.1030763633212,90,med,-30,19.1030763633212,23.7966325993856
15,sub-102,0,3,15,0.2379993004314,-0.523598775598299,1,inf,0.600188476964831,-1,2,-30.2963647201907,-36.0707726738155,29.7036352798093,23.9292273261845,60,low,-30,-6.07077267381551,-0.296364720190688
16,sub-102,0,3,16,0.356998950647099,-0.523598775598299,1,0.075020427815616,0.60016432881821,1,2,-39.2711768948825,-35.7350798090026,20.7288231051175,24.2649201909974,60,med,-30,-5.73507980900261,-9.27117689488253
17,sub-102,0,3,17,0.2379993004314,-0.523598775598299,1,inf,0.408468968467787,-1,1,-30.3342735571758,59.3886440308137,59.6657264428242,149.388644030814,90,low,-30,89.3886440308137,-0.334273557175813
18,sub-102,0,3,18,0.356998950647099,-0.523598775598299,1,0.033343586255796,0.400105225970037,1,1,-11.7243085252915,-7.23768321875239,78.2756914747085,82.7623167812476,90,med,-30,22.7623167812476,18.2756914747085
19,sub-102,0,3,19,0.2379993004314,-0.523598775598299,1,0.016686131129973,0.408452064730227,1,2,-39.1180748537172,-48.9804309387963,20.8819251462827,11.0195690612037,60,low,-30,-18.9804309387963,-9.11807485371725
20,sub-102,0,3,20,0.475998600862799,-0.523598775598299,1,0.008311521960422,0.450102343223989,1,2,-45.2079417513496,-45.2079417513496,14.7920582486504,14.7920582486504,60,high,-30,-15.2079417513496,-15.2079417513496
21,sub-102,0,3,21,0.2379993004314,-0.523598775598299,1,0.058346370817162,0.783548469073139,-1,1,0,-10.0694621147189,90,79.9305378852811,90,low,-30,19.9305378852811,30
22,sub-102,0,3,22,0,-0.523598775598299,1,0.083361229626462,0.600151047226973,0,1,13.9372175782246,6.45732385879113,103.937217578225,96.4573238587911,90,zero,-30,36.4573238587911,43.9372175782246
23,sub-102,0,3,23,0.475998600862799,-0.523598775598299,1,0.041718799155205,0.633524818811566,1,2,-37.2450339189352,-46.4850818077945,22.7549660810648,13.5149181922055,60,high,-30,-16.4850818077945,-7.24503391893521
24,sub-102,0,3,24,0.356998950647099,-0.523598775598299,1,0.041671106475405,0.441801687935367,-1,2,-45.1719862515251,-48.5948724001411,14.8280137484749,11.4051275998589,60,med,-30,-18.5948724001411,-15.1719862515251
